feature,gain,weight,cover
corridor_cause_interaction_grouped_orr north 1_others,0.0,0.0,0.0
has_water_word,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr north 2_congestion,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr north 2_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr north 2_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_orr west 1_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_other_rare,0.0,0.0,0.0
corridor_cause_interaction_grouped_tumkur road_others,0.0,0.0,0.0
corridor_cause_interaction_grouped_tumkur road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_varthur road_vehicle_breakdown,0.0,0.0,0.0
corridor_cause_interaction_grouped_west of chord road_vehicle_breakdown,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_accident_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_congestion_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_construction_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_other_rare,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_others_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_pot_holes_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_procession_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_public_event_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_road_conditions_heavy_0,0.0,0.0,0.0
cause_heavy_vehicle_interaction_grouped_tree_fall_heavy_0,0.0,0.0,0.0
