feature,ensemble_importance,lgb_importance,xgb_importance
corridor_peak_interaction_grouped_tumkur road_off_peak,0.42943572998046875,0.0,0.8588714599609375
veh_type_grouped_others,0.423389732837677,0.0,0.846779465675354
junction_grouped_bigbazaarjunction(oldmadrasrd),0.35009002685546875,0.0,0.7001800537109375
corridor_peak_interaction_grouped_tumkur road_morning_peak,0.34088134765625,0.0,0.6817626953125
is_bus,0.2426619529724121,0.0,0.4853239059448242
event_cause_corridor_grouped_construction_non-corridor,0.2336568832397461,0.0,0.4673137664794922
corridor_peak_interaction_grouped_non_corridor_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_non_corridor_evening_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_mysore_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_mysore_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_magadi_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_magadi_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_magadi_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_irr_thanisandra_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_west_1_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_north_2_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_north_2_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_north_2_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_north_1_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_bannerghata_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_bannerghata_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_bannerghata_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_airport_new_south_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_airport_new_south_road_night,0.0,0.0,0.0
corridor_grouped_west_of_chord_road,0.0,0.0,0.0
corridor_grouped_varthur_road,0.0,0.0,0.0
corridor_grouped_tumkur_road,0.0,0.0,0.0
corridor_peak_interaction_grouped_irr_thanisandra_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_irr_thanisandra_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_hosur_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_hosur_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_hosur_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_north_1_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_north_1_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_east_2_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_east_2_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_east_1_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_east_1_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_east_1_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_old_madras_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_old_madras_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_west_of_chord_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_west_of_chord_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_west_of_chord_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_varthur_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_varthur_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_tumkur_road_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_tumkur_road_night,0.0,0.0,0.0
corridor_peak_interaction_grouped_tumkur_road_morning_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_west_1_off_peak,0.0,0.0,0.0
corridor_peak_interaction_grouped_orr_west_1_night,0.0,0.0,0.0
event_cause_corridor_grouped_construction_airport_new_south_road,0.0,0.0,0.0
event_cause_corridor_grouped_congestion_orr_north_2,0.0,0.0,0.0
